122.274356,"FMSInfo",null,0,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.082753,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.262642,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2000000000000002;2.1999999999999957;0.20000000000000004],1.2000000000000002,2.1999999999999957,0.20000000000000004,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.282607,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2100000000000002;2.1999999999999957;0.20000000000000004],1.2100000000000002,2.1999999999999957,0.20000000000000004,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.302638,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2100000000000002;2.2099999999999955;0.20000000000000004],1.2100000000000002,2.2099999999999955,0.20000000000000004,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.322543,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2100000000000002;2.2099999999999955;0.21000000000000005],1.2100000000000002,2.2099999999999955,0.21000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.342565,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2200000000000002;2.2099999999999955;0.21000000000000005],1.2200000000000002,2.2099999999999955,0.21000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.363634,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2200000000000002;2.2199999999999953;0.21000000000000005],1.2200000000000002,2.2199999999999953,0.21000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.382703,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2200000000000002;2.2199999999999953;0.22000000000000006],1.2200000000000002,2.2199999999999953,0.22000000000000006,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.403827,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2300000000000002;2.2199999999999953;0.22000000000000006],1.2300000000000002,2.2199999999999953,0.22000000000000006,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.423614,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2300000000000002;2.229999999999995;0.22000000000000006],1.2300000000000002,2.229999999999995,0.22000000000000006,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.443619,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2300000000000002;2.229999999999995;0.23000000000000007],1.2300000000000002,2.229999999999995,0.23000000000000007,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
